fips,lat,lon
012086,25.769326,-080.301180
012087,24.747427,-081.244796
012089,30.608318,-081.634340
012091,30.551645,-086.565567
012093,27.271934,-080.824315
012095,28.526077,-081.388371
012097,28.269056,-081.390370
012099,26.616523,-080.143701
012101,28.258217,-082.510240
012103,27.900189,-082.727015
012105,28.042479,-081.786864
012107,29.609230,-081.721195
012109,29.991793,-081.434924
012111,27.333592,-080.357144
012113,30.547226,-087.035767
012115,27.201139,-082.416033
012117,28.699171,-081.310073
012119,28.833480,-082.024754
012121,30.213664,-082.985113
012123,30.056859,-083.590349
012125,30.011442,-082.357690
012127,29.072351,-081.126278
012129,30.187394,-084.332906
012131,30.543793,-086.190190
012133,30.649403,-085.623870
013001,31.770708,-082.338755
013003,31.317495,-082.878111
013005,31.547000,-082.466090
013007,31.310960,-084.433608
013009,33.085482,-083.243621
013011,34.349158,-083.507471
013013,33.992491,-083.728597
013015,34.208535,-084.829148
013017,31.727139,-083.248140
013019,31.233472,-083.251763
013021,32.834626,-083.690072
013023,32.401506,-083.332183
013025,31.217234,-081.970017
013027,30.841118,-083.542270
013029,31.958731,-081.353407
013031,32.415313,-081.762378
013033,33.103215,-082.002339
013035,33.294854,-083.972919
013037,31.526143,-084.662951
013039,30.812543,-081.631375
013043,32.399154,-082.060428
013045,33.623974,-085.043815
013047,34.928524,-085.172189
013049,30.786554,-082.024244
013051,32.043151,-081.136643
013053,32.342797,-084.896374
013055,34.496004,-085.344042
013057,34.170504,-084.494745
013059,33.950374,-083.381417
013061,31.634951,-085.014589
013063,33.551579,-084.361187
013065,31.021262,-082.744401
013067,33.941801,-084.557976
013069,31.515718,-082.838428
013071,31.179661,-083.767871
013073,33.514668,-082.175338
013075,31.148353,-083.423804
013077,33.377998,-084.733460
013079,32.706715,-083.930196
013081,31.949314,-083.778048
013083,34.881193,-085.497925
013085,34.400246,-084.102212
013087,30.889772,-084.569999
013089,33.790223,-084.247613
013091,32.212397,-083.173704
013093,32.170176,-083.780740
013095,31.574147,-084.171202
013097,33.724594,-084.735518
013099,31.335623,-084.919905
013101,30.712259,-083.050326
013103,32.287329,-081.299809
013105,34.128394,-082.880506
013107,32.586625,-082.306411
013109,32.168708,-081.906627
013111,34.902937,-084.312915
013113,33.428121,-084.513188
013115,34.256222,-085.183346
013117,34.190488,-084.150182
013119,34.378121,-083.186359
013121,33.832534,-084.396191
013123,34.675112,-084.486082
013125,33.236629,-082.609660
013127,31.202596,-081.486211
013129,34.498248,-084.907765
013131,30.881836,-084.212447
013133,33.535248,-083.179388
013135,33.954137,-084.053177
013137,34.565656,-083.541387
013139,34.269360,-083.847644
013141,33.254841,-083.013250
013143,33.760719,-085.184723
013145,32.697540,-084.894283
013147,34.355547,-082.964995
013149,33.307964,-085.116748
013151,33.470292,-084.174632
013153,32.565757,-083.663692
013155,31.604345,-083.279860
